ProviderNa,Organizati,Organiza_1,Monitoring,Monitori_1,Monitori_2,ResolvedMo,HUCEightDi,siteUrl,activityCo,resultCoun,StateName,CountyName,lat,lon,Country,Type,NameEn,AreaSqKm
STORET,1VTDECWQ,Vermont Dept of Environmental Conservation,1VTDECWQ-500458,Main Section - Lake Champlain,Lake,"Lake, Reservoir, Impoundment",4150408,https://www.waterqualitydata.us/provider/STORET/1VTDECWQ/1VTDECWQ-500458/,3192,3192,New York,Essex County,44.4711,-73.2992,USA-CAN,Lake / Lago / Lac,Lake Champlain,1117.76
STORET,1VTDECWQ,Vermont Dept of Environmental Conservation,1VTDECWQ-503485,Northeast Arm - Lake Champlain,Lake,"Lake, Reservoir, Impoundment",4150408,https://www.waterqualitydata.us/provider/STORET/1VTDECWQ/1VTDECWQ-503485/,3028,3028,Vermont,Chittenden County,44.7081,-73.2269,USA-CAN,Lake / Lago / Lac,Lake Champlain,1117.76
STORET,1VTDECWQ,Vermont Dept of Environmental Conservation,1VTDECWQ-500470,Isle La Motte - Lake Champlain,Lake,"Lake, Reservoir, Impoundment",4150408,https://www.waterqualitydata.us/provider/STORET/1VTDECWQ/1VTDECWQ-500470/,2958,2958,New York,Clinton County,44.7561,-73.355,USA-CAN,Lake / Lago / Lac,Lake Champlain,1117.76
STORET,1VTDECWQ,Vermont Dept of Environmental Conservation,1VTDECWQ-500451,Otter Creek Section - Lake Champlain,Lake,"Lake, Reservoir, Impoundment",4150408,https://www.waterqualitydata.us/provider/STORET/1VTDECWQ/1VTDECWQ-500451/,2890,2890,Vermont,Addison County,44.2422,-73.3292,USA-CAN,Lake / Lago / Lac,Lake Champlain,1117.76
STORET,1VTDECWQ,Vermont Dept of Environmental Conservation,1VTDECWQ-500449,Port Henry Section - Lake Champlain,Lake,"Lake, Reservoir, Impoundment",4150408,https://www.waterqualitydata.us/provider/STORET/1VTDECWQ/1VTDECWQ-500449/,2840,2840,Vermont,Addison County,44.1261,-73.4128,USA-CAN,Lake / Lago / Lac,Lake Champlain,1117.76
STORET,1VTDECWQ,Vermont Dept of Environmental Conservation,1VTDECWQ-503519,Malletts Bay - Lake Champlain,Lake,"Lake, Reservoir, Impoundment",4150408,https://www.waterqualitydata.us/provider/STORET/1VTDECWQ/1VTDECWQ-503519/,2785,2785,Vermont,Chittenden County,44.5819,-73.2811,USA-CAN,Lake / Lago / Lac,Lake Champlain,1117.76
STORET,1VTDECWQ,Vermont Dept of Environmental Conservation,1VTDECWQ-503506,Shelburne Bay - Lake Champlain,Lake,"Lake, Reservoir, Impoundment",4150408,https://www.waterqualitydata.us/provider/STORET/1VTDECWQ/1VTDECWQ-503506/,1878,1878,Vermont,Chittenden County,44.4258,-73.2319,USA-CAN,Lake / Lago / Lac,Lake Champlain,1117.76
STORET,1VTDECWQ,Vermont Dept of Environmental Conservation,1VTDECWQ-500459,Burlington Bay - Lake Champlain,Lake,"Lake, Reservoir, Impoundment",4150408,https://www.waterqualitydata.us/provider/STORET/1VTDECWQ/1VTDECWQ-500459/,1611,1611,Vermont,Chittenden County,44.4747,-73.2317,USA-CAN,Lake / Lago / Lac,Lake Champlain,1117.76
STORET,1VTDECWQ,Vermont Dept of Environmental Conservation,1VTDECWQ-503288,Southern Section - Lake Champlain,Lake,"Lake, Reservoir, Impoundment",4150408,https://www.waterqualitydata.us/provider/STORET/1VTDECWQ/1VTDECWQ-503288/,1214,1214,New York,Essex County,43.9517,-73.4078,USA-CAN,Lake / Lago / Lac,Lake Champlain,1117.76
STORET,1VTDECWQ,Vermont Dept of Environmental Conservation,1VTDECWQ-500468,Main Section - Lake Champlain,Lake,"Lake, Reservoir, Impoundment",4150408,https://www.waterqualitydata.us/provider/STORET/1VTDECWQ/1VTDECWQ-500468/,1015,1015,New York,Clinton County,44.7011,-73.4181,USA-CAN,Lake / Lago / Lac,Lake Champlain,1117.76
